Date,1_1,1_2,1_3,1_4,1_5,1_6
5/2/2010,24924.5,50605.27,13740.12,39954.04,39954.04,
12/2/2010,46039.49,44682.74,10887.84,35351.21,35351.21,
19/2/2010,41595.55,47928.89,11523.47,36826.95,36826.95,
26/2/2010,19403.54,44292.87,11135.17,34660.16,34660.16,
5/3/2010,21827.9,48397.98,12275.58,38086.19,38086.19,
12/3/2010,21043.39,43751.94,10123.45,32668.67,32668.67,
19/3/2010,22136.64,43615.49,9001.37,34118.11,34118.11,
26/3/2010,26229.21,41892.55,10366.85,33872.07,33872.07,
2/4/2010,57258.43,47450.5,11157.08,37809.49,37809.49,
9/4/2010,42960.91,46549.73,10179.29,36174.43,36174.43,
16/4/2010,17596.96,45025.02,9226.8,34740.19,34740.19,
23/4/2010,16145.35,44418.11,8868.93,33806.71,33806.71,
30/4/2010,16555.11,45971.3,9337.44,33437.8,33437.8,
7/5/2010,17413.94,47903.01,9372.8,37168.34,37168.34,
14/5/2010,18926.74,43675.61,7919.86,33657.7,33657.7,
21/5/2010,14773.04,44319.15,7813.91,35571.47,35571.47,
28/5/2010,15580.43,44619.52,8412.69,36380.36,36380.36,
4/6/2010,17558.09,48754.47,8001.41,40548.19,40548.19,
11/6/2010,16637.62,47089.54,7742.75,36579.96,36579.96,
18/6/2010,16216.27,44428.71,8201.06,35059.52,35059.52,
25/6/2010,16328.72,45299.92,6591.22,34454.69,34454.69,
2/7/2010,16333.14,47077.72,7857.88,39773.71,39773.71,
9/7/2010,17688.76,46752.12,8112.67,39781.45,39781.45,
16/7/2010,17150.84,44339.2,13751.3,35234.66,35234.66,
23/7/2010,15360.45,44763.33,16930.62,36624.71,36624.71,
30/7/2010,15381.82,45833.77,20915.95,36419.68,36419.68,
6/8/2010,17508.41,50031.73,26719.02,40973.88,40973.88,
13/8/2010,15536.4,45475.69,30640.54,36461.66,36461.66,
20/8/2010,15740.13,49754.17,41101.93,39706.1,39706.1,
27/8/2010,15793.87,49623.53,51159.17,36404.6,36404.6,
3/9/2010,16241.78,49015.05,19081.8,38321.88,38321.88,
10/9/2010,18194.74,45182.5,12134.69,36603.78,36603.78,
17/9/2010,19354.23,44681.64,10722.46,33999.01,33999.01,
24/9/2010,18122.52,42477.49,8097.92,32497.43,32497.43,
1/10/2010,20094.19,45829.02,9775.17,34912.45,34912.45,
8/10/2010,23388.03,46387.54,10081.8,35772.82,35772.82,
15/10/2010,26978.34,43110.79,9735.73,34693.27,34693.27,
22/10/2010,25543.04,42371.48,8614.41,32902.26,32902.26,
29/10/2010,38640.93,44081.33,9283.09,35202.44,35202.44,
5/11/2010,34238.88,46381.43,9825.22,37980.55,37980.55,
12/11/2010,19549.39,43194.49,9146.77,35008.03,35008.03,
19/11/2010,19552.84,41443.25,9202.11,37078.61,37078.61,
